26/08/2025 10:23:45 - H=69.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:55:26 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:28 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:30 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:32 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:34 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:36 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:38 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:40 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:42 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:44 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:46 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:48 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:50 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:53 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:55 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:57 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:59 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:56:01 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:56:03 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:56:05 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:56:07 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:56:09 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:56:11 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:56:13 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:56:15 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:56:17 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:56:19 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:56:21 - H=74.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:56:23 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:56:25 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:56:50 - H=73.0%, T=21.0C (69.8F), I=0.00 A
26/08/2025 10:56:52 - H=71.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:15 - H=69.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:17 - H=72.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:19 - H=73.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:21 - H=73.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:23 - H=73.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:25 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:27 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:29 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:31 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:33 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:35 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:37 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:39 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:41 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:43 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:45 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:47 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:49 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:51 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:53 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:55 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:57:57 - H=75.0%, T=21.0C (69.8F), I=0.00 A
26/08/2025 10:57:59 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:58:01 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:58:03 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:58:05 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:58:08 - H=73.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:58:10 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:58:12 - H=73.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:58:59 - H=70.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:01 - H=73.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:05 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:07 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:09 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:11 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:13 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:15 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:17 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:19 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:21 - H=76.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:23 - H=77.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 10:59:25 - H=77.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:05 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:07 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:09 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:11 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:13 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:15 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:17 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:19 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:21 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:23 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:25 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:28 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:30 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:32 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:34 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:36 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:38 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:40 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:42 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:44 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:46 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:48 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:50 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:52 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:54 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:56 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:08:58 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:00 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:02 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:04 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:06 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:08 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:10 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:12 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:14 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:16 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:18 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:20 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:22 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:24 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:27 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:29 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:31 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:33 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:35 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:37 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:39 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:41 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:43 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:45 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:47 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:49 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:51 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:53 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:55 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:57 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:09:59 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:10:01 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:10:03 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:10:05 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:10:07 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:10:09 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:10:11 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:10:13 - H=75.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:10:27 - H=74.0%, T=20.0C (68.0F), I=0.00 A
26/08/2025 11:12:58 - H=75.0%, T=20.0C (68.0F), I=0.68 A
26/08/2025 11:13:00 - H=74.0%, T=20.0C (68.0F), I=0.06 A
26/08/2025 11:13:02 - H=76.0%, T=20.0C (68.0F), I=-0.04 A
26/08/2025 11:13:04 - H=76.0%, T=20.0C (68.0F), I=0.03 A
26/08/2025 11:13:06 - H=75.0%, T=20.0C (68.0F), I=0.17 A
26/08/2025 11:13:08 - H=75.0%, T=20.0C (68.0F), I=0.46 A
26/08/2025 11:13:11 - H=75.0%, T=20.0C (68.0F), I=-0.47 A
26/08/2025 11:13:13 - H=76.0%, T=20.0C (68.0F), I=0.27 A
26/08/2025 11:13:46 - H=75.0%, T=20.0C (68.0F), I=0.32 A
26/08/2025 11:13:48 - H=74.0%, T=20.0C (68.0F), I=0.11 A
26/08/2025 11:13:50 - H=76.0%, T=20.0C (68.0F), I=-0.30 A
26/08/2025 11:13:52 - H=76.0%, T=20.0C (68.0F), I=0.06 A
26/08/2025 11:13:54 - H=76.0%, T=20.0C (68.0F), I=0.34 A
26/08/2025 11:13:56 - H=75.0%, T=20.0C (68.0F), I=0.73 A
26/08/2025 11:13:58 - H=75.0%, T=20.0C (68.0F), I=0.28 A
26/08/2025 11:14:00 - H=76.0%, T=20.0C (68.0F), I=0.35 A
26/08/2025 11:14:02 - H=75.0%, T=20.0C (68.0F), I=-0.01 A
26/08/2025 11:14:04 - H=75.0%, T=20.0C (68.0F), I=0.44 A
26/08/2025 11:14:07 - H=77.0%, T=20.0C (68.0F), I=0.35 A
26/08/2025 11:14:09 - H=76.0%, T=20.0C (68.0F), I=0.74 A
26/08/2025 11:14:11 - H=76.0%, T=20.0C (68.0F), I=0.88 A
26/08/2025 11:14:13 - H=76.0%, T=20.0C (68.0F), I=0.32 A
26/08/2025 11:14:15 - H=76.0%, T=20.0C (68.0F), I=0.58 A
26/08/2025 11:14:17 - H=76.0%, T=20.0C (68.0F), I=0.30 A
26/08/2025 11:14:19 - H=76.0%, T=20.0C (68.0F), I=0.78 A
26/08/2025 11:14:21 - H=76.0%, T=20.0C (68.0F), I=0.74 A
26/08/2025 11:14:23 - H=76.0%, T=20.0C (68.0F), I=1.07 A
26/08/2025 11:14:25 - H=75.0%, T=20.0C (68.0F), I=0.49 A
26/08/2025 11:14:27 - H=75.0%, T=20.0C (68.0F), I=0.57 A
26/08/2025 11:14:29 - H=75.0%, T=20.0C (68.0F), I=0.49 A
26/08/2025 11:14:31 - H=76.0%, T=20.0C (68.0F), I=0.24 A
26/08/2025 11:14:33 - H=76.0%, T=20.0C (68.0F), I=0.57 A
26/08/2025 11:14:35 - H=76.0%, T=20.0C (68.0F), I=0.45 A
26/08/2025 11:14:37 - H=76.0%, T=20.0C (68.0F), I=0.67 A
26/08/2025 11:14:39 - H=76.0%, T=20.0C (68.0F), I=0.68 A
26/08/2025 11:14:41 - H=77.0%, T=19.0C (66.2F), I=0.20 A
26/08/2025 11:14:43 - H=76.0%, T=20.0C (68.0F), I=0.61 A
26/08/2025 11:14:54 - H=77.0%, T=20.0C (68.0F), I=0.18 A
26/08/2025 11:14:56 - H=75.0%, T=20.0C (68.0F), I=0.01 A
26/08/2025 11:14:58 - H=76.0%, T=20.0C (68.0F), I=0.04 A
26/08/2025 11:15:00 - H=76.0%, T=20.0C (68.0F), I=-0.01 A
26/08/2025 11:15:02 - H=76.0%, T=20.0C (68.0F), I=-0.10 A
26/08/2025 11:15:04 - H=75.0%, T=20.0C (68.0F), I=-0.37 A
26/08/2025 11:15:06 - H=76.0%, T=20.0C (68.0F), I=-0.37 A
26/08/2025 11:15:16 - H=75.0%, T=20.0C (68.0F), I=0.22 A
26/08/2025 11:15:26 - H=75.0%, T=20.0C (68.0F), I=0.10 A
26/08/2025 11:15:28 - H=74.0%, T=20.0C (68.0F), I=-0.05 A
26/08/2025 11:15:30 - H=75.0%, T=20.0C (68.0F), I=0.22 A
26/08/2025 11:15:32 - H=75.0%, T=20.0C (68.0F), I=0.71 A
26/08/2025 11:15:34 - H=75.0%, T=20.0C (68.0F), I=0.87 A
26/08/2025 11:15:36 - H=75.0%, T=20.0C (68.0F), I=0.62 A
26/08/2025 11:15:38 - H=75.0%, T=20.0C (68.0F), I=0.54 A
26/08/2025 11:15:40 - H=76.0%, T=20.0C (68.0F), I=0.58 A
26/08/2025 11:15:42 - H=76.0%, T=20.0C (68.0F), I=0.55 A
26/08/2025 11:15:44 - H=75.0%, T=20.0C (68.0F), I=0.50 A
26/08/2025 11:15:46 - H=75.0%, T=20.0C (68.0F), I=0.62 A
26/08/2025 11:15:48 - H=75.0%, T=20.0C (68.0F), I=0.52 A
26/08/2025 11:15:50 - H=76.0%, T=20.0C (68.0F), I=0.60 A
26/08/2025 11:15:52 - H=75.0%, T=20.0C (68.0F), I=0.64 A
26/08/2025 11:15:54 - H=76.0%, T=20.0C (68.0F), I=0.56 A
26/08/2025 11:15:56 - H=75.0%, T=20.0C (68.0F), I=0.59 A
26/08/2025 11:15:58 - H=75.0%, T=20.0C (68.0F), I=0.55 A
26/08/2025 11:16:00 - H=75.0%, T=20.0C (68.0F), I=0.57 A
26/08/2025 11:16:02 - H=75.0%, T=20.0C (68.0F), I=0.55 A
26/08/2025 11:16:05 - H=76.0%, T=20.0C (68.0F), I=0.63 A
26/08/2025 11:16:07 - H=75.0%, T=20.0C (68.0F), I=0.10 A
26/08/2025 11:16:09 - H=76.0%, T=20.0C (68.0F), I=1.12 A
26/08/2025 11:16:11 - H=76.0%, T=20.0C (68.0F), I=0.45 A
26/08/2025 11:16:13 - H=76.0%, T=20.0C (68.0F), I=0.57 A
26/08/2025 11:16:15 - H=78.0%, T=20.0C (68.0F), I=0.71 A
26/08/2025 11:16:17 - H=78.0%, T=20.0C (68.0F), I=0.57 A
26/08/2025 11:16:19 - H=80.0%, T=20.0C (68.0F), I=0.64 A
26/08/2025 11:16:21 - H=84.0%, T=20.0C (68.0F), I=0.66 A
26/08/2025 11:16:23 - H=84.0%, T=20.0C (68.0F), I=0.63 A
26/08/2025 11:16:25 - H=84.0%, T=20.0C (68.0F), I=0.65 A
26/08/2025 11:16:27 - H=84.0%, T=20.0C (68.0F), I=0.58 A
26/08/2025 11:16:29 - H=83.0%, T=20.0C (68.0F), I=0.53 A
26/08/2025 11:16:31 - H=82.0%, T=20.0C (68.0F), I=0.53 A
26/08/2025 11:16:33 - H=81.0%, T=20.0C (68.0F), I=-0.39 A
26/08/2025 11:16:50 - H=76.0%, T=20.0C (68.0F), I=0.19 A
26/08/2025 11:16:52 - H=76.0%, T=20.0C (68.0F), I=-0.05 A
26/08/2025 11:17:01 - H=77.0%, T=20.0C (68.0F), I=0.17 A
26/08/2025 11:17:03 - H=74.0%, T=20.0C (68.0F), I=-0.10 A
26/08/2025 11:17:05 - H=75.0%, T=20.0C (68.0F), I=0.10 A
26/08/2025 11:17:07 - H=75.0%, T=20.0C (68.0F), I=-0.23 A
26/08/2025 11:17:09 - H=75.0%, T=20.0C (68.0F), I=0.01 A
26/08/2025 11:17:12 - H=75.0%, T=20.0C (68.0F), I=-0.06 A
26/08/2025 11:17:14 - H=76.0%, T=20.0C (68.0F), I=-0.13 A
26/08/2025 11:17:27 - H=75.0%, T=20.0C (68.0F), I=-1.65 A
26/08/2025 11:17:29 - H=74.0%, T=20.0C (68.0F), I=-1.80 A
26/08/2025 11:17:31 - H=75.0%, T=20.0C (68.0F), I=-1.94 A
26/08/2025 11:17:33 - H=75.0%, T=20.0C (68.0F), I=-1.73 A
26/08/2025 11:17:35 - H=75.0%, T=20.0C (68.0F), I=-1.72 A
26/08/2025 11:17:37 - H=76.0%, T=20.0C (68.0F), I=-1.39 A
26/08/2025 11:17:39 - H=76.0%, T=20.0C (68.0F), I=-0.95 A
26/08/2025 11:17:41 - H=75.0%, T=20.0C (68.0F), I=-1.01 A
26/08/2025 11:17:43 - H=74.0%, T=20.0C (68.0F), I=-1.00 A
26/08/2025 11:17:45 - H=75.0%, T=20.0C (68.0F), I=-0.90 A
26/08/2025 11:17:47 - H=75.0%, T=20.0C (68.0F), I=-0.93 A
26/08/2025 11:17:49 - H=75.0%, T=20.0C (68.0F), I=-0.90 A
26/08/2025 11:17:51 - H=74.0%, T=20.0C (68.0F), I=-0.84 A
26/08/2025 11:17:53 - H=74.0%, T=20.0C (68.0F), I=-0.89 A
26/08/2025 11:17:55 - H=74.0%, T=20.0C (68.0F), I=0.21 A
26/08/2025 11:17:58 - H=74.0%, T=20.0C (68.0F), I=-0.86 A
26/08/2025 11:18:00 - H=75.0%, T=20.0C (68.0F), I=-0.86 A
26/08/2025 11:18:02 - H=74.0%, T=20.0C (68.0F), I=-0.90 A
26/08/2025 11:18:04 - H=74.0%, T=20.0C (68.0F), I=-0.81 A
26/08/2025 11:18:06 - H=74.0%, T=20.0C (68.0F), I=-0.93 A
26/08/2025 11:18:08 - H=74.0%, T=20.0C (68.0F), I=-0.67 A
26/08/2025 11:18:10 - H=75.0%, T=20.0C (68.0F), I=-0.76 A
26/08/2025 11:18:12 - H=75.0%, T=20.0C (68.0F), I=-0.72 A
26/08/2025 11:18:14 - H=75.0%, T=20.0C (68.0F), I=-0.75 A
26/08/2025 11:18:16 - H=75.0%, T=20.0C (68.0F), I=-1.39 A
26/08/2025 11:18:18 - H=76.0%, T=20.0C (68.0F), I=-1.22 A
26/08/2025 11:18:20 - H=76.0%, T=20.0C (68.0F), I=-1.24 A
26/08/2025 11:18:22 - H=76.0%, T=20.0C (68.0F), I=-1.21 A
26/08/2025 11:18:24 - H=76.0%, T=20.0C (68.0F), I=-1.35 A
26/08/2025 11:18:39 - H=76.0%, T=20.0C (68.0F), I=0.38 A
26/08/2025 11:18:41 - H=75.0%, T=20.0C (68.0F), I=0.07 A
26/08/2025 11:18:43 - H=76.0%, T=20.0C (68.0F), I=0.33 A
26/08/2025 11:18:45 - H=76.0%, T=20.0C (68.0F), I=-1.22 A
26/08/2025 11:18:53 - H=76.0%, T=20.0C (68.0F), I=-1.14 A
26/08/2025 11:18:55 - H=76.0%, T=20.0C (68.0F), I=-1.31 A
26/08/2025 11:18:57 - H=76.0%, T=20.0C (68.0F), I=-1.29 A
26/08/2025 11:18:59 - H=76.0%, T=20.0C (68.0F), I=-1.23 A
26/08/2025 11:19:01 - H=76.0%, T=20.0C (68.0F), I=-1.22 A
26/08/2025 11:19:03 - H=77.0%, T=20.0C (68.0F), I=0.35 A
26/08/2025 11:19:05 - H=77.0%, T=20.0C (68.0F), I=-0.02 A
26/08/2025 11:19:07 - H=77.0%, T=20.0C (68.0F), I=0.87 A
26/08/2025 11:19:10 - H=77.0%, T=20.0C (68.0F), I=1.44 A
26/08/2025 11:19:12 - H=77.0%, T=20.0C (68.0F), I=1.29 A
26/08/2025 11:19:14 - H=77.0%, T=20.0C (68.0F), I=1.39 A
26/08/2025 11:19:16 - H=77.0%, T=20.0C (68.0F), I=-0.24 A
26/08/2025 11:19:18 - H=76.0%, T=20.0C (68.0F), I=0.96 A
26/08/2025 11:19:20 - H=76.0%, T=20.0C (68.0F), I=1.29 A
26/08/2025 11:19:22 - H=76.0%, T=20.0C (68.0F), I=0.83 A
26/08/2025 11:19:24 - H=76.0%, T=20.0C (68.0F), I=0.79 A
26/08/2025 11:19:26 - H=77.0%, T=20.0C (68.0F), I=1.00 A
26/08/2025 11:19:28 - H=76.0%, T=20.0C (68.0F), I=0.93 A
26/08/2025 11:19:30 - H=76.0%, T=20.0C (68.0F), I=1.06 A
26/08/2025 11:19:32 - H=76.0%, T=20.0C (68.0F), I=0.87 A
26/08/2025 11:19:34 - H=76.0%, T=20.0C (68.0F), I=0.98 A
26/08/2025 11:19:36 - H=76.0%, T=20.0C (68.0F), I=0.93 A
26/08/2025 11:19:38 - H=76.0%, T=20.0C (68.0F), I=0.90 A
26/08/2025 11:19:40 - H=76.0%, T=20.0C (68.0F), I=2.23 A
26/08/2025 11:19:42 - H=77.0%, T=20.0C (68.0F), I=1.26 A
26/08/2025 11:20:08 - H=76.0%, T=20.0C (68.0F), I=0.23 A
26/08/2025 11:20:10 - H=76.0%, T=20.0C (68.0F), I=-0.04 A
26/08/2025 11:20:12 - H=76.0%, T=20.0C (68.0F), I=0.04 A
26/08/2025 11:20:14 - H=76.0%, T=20.0C (68.0F), I=0.15 A
26/08/2025 11:20:16 - H=77.0%, T=20.0C (68.0F), I=0.64 A
26/08/2025 11:20:18 - H=76.0%, T=20.0C (68.0F), I=1.55 A
26/08/2025 11:20:20 - H=76.0%, T=20.0C (68.0F), I=1.58 A
26/08/2025 11:20:22 - H=76.0%, T=20.0C (68.0F), I=0.82 A
26/08/2025 11:20:24 - H=76.0%, T=20.0C (68.0F), I=1.71 A
26/08/2025 11:20:26 - H=76.0%, T=20.0C (68.0F), I=0.59 A
26/08/2025 11:20:28 - H=76.0%, T=20.0C (68.0F), I=1.42 A
26/08/2025 11:20:30 - H=76.0%, T=20.0C (68.0F), I=0.93 A
26/08/2025 11:20:32 - H=76.0%, T=20.0C (68.0F), I=2.20 A
26/08/2025 11:20:35 - H=78.0%, T=20.0C (68.0F), I=1.25 A
26/08/2025 11:20:37 - H=76.0%, T=20.0C (68.0F), I=1.79 A
26/08/2025 11:20:39 - H=77.0%, T=20.0C (68.0F), I=1.52 A
26/08/2025 11:20:41 - H=77.0%, T=20.0C (68.0F), I=1.91 A
26/08/2025 11:20:43 - H=77.0%, T=20.0C (68.0F), I=1.90 A
26/08/2025 11:20:45 - H=77.0%, T=20.0C (68.0F), I=0.94 A
26/08/2025 11:20:47 - H=77.0%, T=20.0C (68.0F), I=1.03 A
26/08/2025 11:20:49 - H=77.0%, T=20.0C (68.0F), I=1.10 A
26/08/2025 11:20:51 - H=76.0%, T=20.0C (68.0F), I=1.13 A
26/08/2025 11:20:53 - H=77.0%, T=19.0C (66.2F), I=1.14 A
26/08/2025 11:20:55 - H=78.0%, T=20.0C (68.0F), I=1.04 A
26/08/2025 11:20:57 - H=76.0%, T=20.0C (68.0F), I=0.99 A
26/08/2025 11:20:59 - H=77.0%, T=20.0C (68.0F), I=1.29 A
26/08/2025 11:21:01 - H=77.0%, T=20.0C (68.0F), I=0.93 A
26/08/2025 11:21:03 - H=77.0%, T=20.0C (68.0F), I=1.14 A
26/08/2025 11:21:05 - H=77.0%, T=20.0C (68.0F), I=1.04 A
26/08/2025 11:21:07 - H=76.0%, T=20.0C (68.0F), I=1.02 A
26/08/2025 11:21:09 - H=76.0%, T=20.0C (68.0F), I=1.20 A
26/08/2025 11:21:11 - H=76.0%, T=20.0C (68.0F), I=1.17 A
26/08/2025 11:21:13 - H=77.0%, T=20.0C (68.0F), I=1.16 A
26/08/2025 11:21:15 - H=77.0%, T=20.0C (68.0F), I=1.23 A
26/08/2025 11:21:17 - H=76.0%, T=20.0C (68.0F), I=1.20 A
26/08/2025 11:21:19 - H=76.0%, T=20.0C (68.0F), I=2.14 A
26/08/2025 11:21:21 - H=76.0%, T=20.0C (68.0F), I=0.99 A
26/08/2025 11:21:23 - H=76.0%, T=20.0C (68.0F), I=0.69 A
26/08/2025 11:21:25 - H=76.0%, T=20.0C (68.0F), I=0.56 A
26/08/2025 11:21:27 - H=76.0%, T=20.0C (68.0F), I=0.56 A
26/08/2025 11:21:29 - H=76.0%, T=20.0C (68.0F), I=0.58 A
26/08/2025 11:21:31 - H=76.0%, T=20.0C (68.0F), I=0.45 A
26/08/2025 11:21:34 - H=76.0%, T=20.0C (68.0F), I=1.29 A
26/08/2025 11:21:36 - H=76.0%, T=20.0C (68.0F), I=1.45 A
26/08/2025 11:21:38 - H=76.0%, T=20.0C (68.0F), I=1.03 A
26/08/2025 11:21:40 - H=76.0%, T=20.0C (68.0F), I=1.39 A
26/08/2025 11:21:42 - H=76.0%, T=20.0C (68.0F), I=0.90 A
26/08/2025 11:21:44 - H=76.0%, T=20.0C (68.0F), I=0.75 A
26/08/2025 11:21:46 - H=76.0%, T=20.0C (68.0F), I=0.92 A
26/08/2025 11:21:48 - H=76.0%, T=20.0C (68.0F), I=0.97 A
26/08/2025 11:21:50 - H=76.0%, T=20.0C (68.0F), I=0.92 A
26/08/2025 11:21:52 - H=76.0%, T=20.0C (68.0F), I=0.93 A
26/08/2025 11:21:54 - H=76.0%, T=20.0C (68.0F), I=0.59 A
